entrez_id	obsolete_entrez_id	obsolete_symbol
392305	2756	GLULP
81034	2757	GLYB
9380	2758	GLYD
-	2763	GMFA
79158	2795	GNPTA
645538	2807	GOT2L1
391139	2808	GOT2L2
644138	2809	GOT2L3P
-	2816	GPB
221914	2818	GPC2
1524	2836	GPR13
347853	2839	TBX7
10803	2851	GPR28
-	2858	GPR34P
257202	2881	GPX6
441481	2883	GPX1P1
171423	2924	GRP58P
145258	2927	GSC
-	2929	GSK1
-	2930	GSK2
730152	2943	GSTA7P
-	2945	GSTM5P1
-	2955	GTA
390226	2985	GUCY2E
-	2991	GUSM
8338	3011	H2A
8349	3016	H2B
126961	3019	H3F2
8370	3022	H4F2
-	3023	H4F3
708	3025	HABP1
3033	3027	HADH
4948	3058	HCL3
-	3072	HEP10
3075	3076	HF2
3078	3079	CFHR1P
-	3085	HMG1P
2767	3086	HHC2
3973	3088	HHG
10166	3089	HHH
904	3095	HIVE1
642546	3100	HK2P
284459	3102	HKR1
342945	3103	HKR2
646702	3114	HLA-DPA2
-	3143	HMAA
-	3144	HMAB
-	3147	HMG1L
-	3154	KRT22
-	3160	HMI
-	3165	HMS1
340784	3168	HMX3
-	3173	HNF4B
729423	3179	HNRPA1L
6910	3180	HOS
-	3193	HOAC
140803	3194	HOMG
6469	3243	HPE3
6496	3245	HPE2
7050	3246	HPE4
-	3252	HPRT2
-	3253	HPRTP1
3255	3256	HPRTP4
-	3262	HPVC1
55806	3264	HR
6905	3271	HRD
9098	3277	HRP1
79577	3278	HRPT1
79577	3279	HRPT2
1910	3282	HSCR2
391076	3285	HSD3BP1
440606	3286	HSD3BP2
441900	3287	HSD3BP3
128102	3288	HSD3BP4
391081	3289	HSD3BP5
643646	3296	HSD17BP1
10558	3302	HSN1
-	3307	HSPA3
-	3317	HSPBL1
653553	3318	HSPBL2
653364	3319	HSPBL3
3320	3325	HSPCAL4
7190	3328	HSPCP2
3332	3330	HSPDP1
645808	3331	HSPDP2
3332	3333	HSPDP4
345041	3334	HSPDP5
645548	3335	HSPDP6
6513	3345	HTLVR
55997	3348	HTX2
100421479	3353	HTR1DP1
5818	3365	HV1S
-	3366	HVBS1
-	3367	HVBS4
-	3368	HVBS6
8284	3372	HY
6329	3374	HYKPP
64127	3377	IBD1
10020	3379	IBM2
4620	3380	IBM3
112476	3387	ICCA
-	3388	ICR1
26154	3389	ICR2B
-	3390	ICR3
-	3391	ICR4
26154	3392	ICR5
27019	3393	ICS1
3620	3395	IDO
3630	3401	IDDM2
387082	3404	IDDM5
-	3408	IDDM9
3559	3409	IDDM10
1493	3411	IDDM12
-	3413	IDDM14
-	3415	IDDM16
103	3427	IFI4
7453	3432	IFI53
8373	3435	IFI56P
3431	3436	IFI75
